School,Address,Rating,Type,Enrollment,Students per Teacher,,,,
Candlewood Elementary,"7210 Osprey Drive, Rockville, MD, 20855",6,E,367,13,,,,
Clarksburg Elementary,"13530 Redgrave Place, Clarksburg, MD, 20871",6,E,529,15,,,,
Darnestown Elementary,"15030 Turkey Foot Road, Gaithersburg, MD, 20878",6,E,310,15,,,,
Fairland Elementary,"14315 Fairdale Road, Silver Spring, MD, 20905",6,E,628,12,,,,
Galway Elementary,"12612 Galway Drive, Silver Spring, MD, 20904",6,E,788,12,,,,
Garrett Park Elementary,"4810 Oxford Street, Kensington, MD, 20895",6,E,798,17,,,,
Germantown Elementary,"19110 Liberty Mill Road, Germantown, MD, 20874",6,E,321,10,,,,
Highland Elementary,"3100 Medway Street, Silver Spring, MD, 20902",6,E,548,11,,,,
Maryvale Elementary,"15101 Bauer Drive, Rockville, MD, 20853",6,E,617,13,,,,
Oakland Terrace Elementary,"2720 Plyers Mill Road, Silver Spring, MD, 20902",6,E,490,11,,,,
Pine Crest Elementary,"201 Woodmoor Drive, Silver Spring, MD, 20901",6,E,435,14,,,,
Beall Elementary,"451 Beall Avenue, Rockville, MD, 20850",6,E,572,16,,,,
Wheaton Woods Elementary,"4510 Faroe Place, Rockville, MD, 20853",6,E,522,11,,,,
Waters Landing Elementary,"13100 Waters Landing Drive, Germantown, MD, 20874",6,E,667,13,,,,
Greencastle Elementary,"13611 Robey Road, Silver Spring, MD, 20904",6,E,700,13,,,,
Goshen Elementary,"8701 Warfield Road, Gaithersburg, MD, 20882",6,E,578,13,,,,
Sequoyah Elementary,"17301 Bowie Mill Road, Derwood, MD, 20855",6,E,389,11,,,,
Great Seneca Creek Elementary,"13010 Dairymaid Drive, Germantown, MD, 20874",5,E,606,13,,,,
Arcola Elementary,"1820 Franwall Avenue, Silver Spring, MD, 20902",5,E,732,11,,,,
Dr. Sally K. Ride Elementary,"21301 Seneca Crossing Drive, Germantown, MD, 20876",5,E,519,11,,,,
S. Christa McAuliffe Elementary,"12500 Wisteria Drive, Germantown, MD, 20874",5,E,567,12,,,,
Brown Station Elementary,"850 Quince Orchard Boulevard, Gaithersburg, MD, 20878",5,E,585,12,,,,
Burtonsville Elementary,"15516 Old Columbia Pike, Burtonsville, MD, 20866",5,E,627,15,,,,
College Gardens Elementary,"1700 Yale Place, Rockville, MD, 20850",5,E,695,16,,,,
East Silver Spring Elementary,"631 Silver Spring Avenue, Silver Spring, MD, 20910",5,E,511,12,,,,
Fields Road Elementary,"1 School Drive, Gaithersburg, MD, 20878",5,E,474,13,,,,
Gaithersburg Elementary,"35 North Summit Avenue, Gaithersburg, MD, 20877",5,E,839,11,,,,
Glen Haven Elementary,"10900 Inwood Avenue, Silver Spring, MD, 20902",5,E,482,11,,,,
Jackson Road Elementary,"900 Jackson Road, Silver Spring, MD, 20904",5,E,726,11,,,,
Kemp Mill Elementary,"411 Sisson Street, Silver Spring, MD, 20902",5,E,491,11,,,,
Flora M. Singer Elementary School,"2600 Hayden Drive, Silver Spring, MD, 20902",5,E,669,12,,,,
Mill Creek Towne Elementary,"17700 Park Mill Dr, Rockville, MD, 20855",5,E,464,11,,,,
Oak View Elementary,"400 East Wayne Avenue, Silver Spring, MD, 20901",5,E,430,13,,,,
Rock Creek Valley Elementary,"5121 Russett Road, Rockville, MD, 20853",5,E,441,10,,,,
Rosemont Elementary,"16400 Alden Avenue, Gaithersburg, MD, 20877",5,E,628,11,,,,
Strathmore Elementary,"3200 Beaverwood Lane, Silver Spring, MD, 20906",5,E,448,12,,,,
Viers Mill Elementary,"11711 Joseph Mill Road, Silver Spring, MD, 20906",5,E,604,11,,,,
Washington Grove Elementary,"8712 Oakmont Street, Gaithersburg, MD, 20877",5,E,488,10,,,,
Weller Road Elementary,"3301 Weller Road, Silver Spring, MD, 20906",5,E,714,12,,,,
Whetstone Elementary,"19201 Thomas Farm Rd, Gaithersburg, MD, 20879",5,E,751,12,,,,
Lake Seneca Elementary,"13600 Wanegarden Drive, Germantown, MD, 20874",5,E,516,12,,,,
Strawberry Knoll Elementary,"18820 Strawberry Knoll Road, Gaithersburg, MD, 20879",5,E,640,12,,,,
Cloverly Elementary,"800 Briggs Chaney Road, Silver Spring, MD, 20905",5,E,533,13,,,,
Burnt Mills Elementary,"11211 Childs Street, Silver Spring, MD, 20901",5,E,607,13,,,,
Judith A. Resnik Elementary,"7301 Hadley Farms Drive, Gaithersburg, MD, 20879",5,E,640,13,,,,
Cannon Road Elementary,"901 Cannon Road, Silver Spring, MD, 20904",4,E,412,11,,,,
Cresthaven Elementary,"1234 Cresthaven Drive, Silver Spring, MD, 20903",4,E,557,13,,,,
Damascus Elementary,"10201 Bethesda Church Road, Damascus, MD, 20872",4,E,341,13,,,,
Glenallan Elementary,"12520 Heurich Road, Silver Spring, MD, 20902",4,E,746,12,,,,
Highland View Elementary,"9010 Providence Avenue, Silver Spring, MD, 20901",4,E,440,12,,,,
