Census 5-Digit ZCTA Code,Percent Non Hispanic White,Percent Non Hispanic Black,Percent non Hispanic Asian,Percent Hispanic
21782,95.2,0.5,0.3,1.3
21783,93.0,2.0,0.6,2.9
21784,89.5,4.4,2.2,2.3
21787,92.0,2.9,0.6,2.3
21788,95.1,0.8,0.9,1.9
21790,87.0,0.0,1.0,10.0
21791,94.5,2.3,0.3,1.7
21793,83.2,6.8,1.9,5.5
21794,78.5,5.5,11.1,2.1
21795,92.9,2.7,1.1,1.6
21797,88.0,3.9,3.3,2.9
21798,91.2,2.3,0.8,3.8
21801,55.4,34.7,2.7,4.9
21802,71.9,27.0,0.0,1.1
21804,66.6,22.0,2.9,5.7
21810,68.6,27.9,0.0,1.2
21811,84.1,10.0,1.0,3.0
21813,87.8,6.6,0.9,3.1
21814,70.5,21.3,0.0,2.6
21817,71.5,21.8,0.6,3.8
21821,86.4,10.4,0.8,0.3
21822,76.5,17.9,1.2,1.8
21824,94.9,3.0,1.0,0.0
21826,59.2,31.0,3.2,3.1
21829,82.5,10.4,0.2,4.6
21830,83.0,12.5,0.8,2.0
21835,81.3,12.0,0.8,4.3
21837,72.6,21.4,0.3,2.5
21838,69.2,18.7,0.9,9.2
21840,73.6,20.0,0.3,4.0
21841,79.7,16.2,1.2,0.9
21842,90.1,2.2,1.2,4.9
21849,88.5,5.7,1.3,2.2
21850,91.2,3.6,1.4,1.9
21851,59.3,34.5,1.6,2.2
21853,37.8,55.3,0.8,3.6
21856,68.0,27.1,0.6,2.1
21861,90.6,5.5,0.4,1.8
21862,84.9,4.7,5.7,2.8
21863,66.5,28.8,0.8,1.9
21864,75.3,19.3,0.3,2.5
21865,83.6,14.7,0.2,1.1
21866,98.7,0.0,0.0,1.3
21875,75.0,15.1,3.7,3.5
21890,25.0,73.8,0.1,0.9
21901,90.4,4.2,1.0,2.5
21902,57.3,39.5,0.6,0.2
21903,84.8,7.9,1.2,3.5
21904,89.5,5.1,0.5,2.4
21911,95.3,0.6,0.5,2.1
21912,84.6,7.5,0.3,6.3
21913,79.0,11.8,0.5,7.1
21914,95.9,0.0,0.5,2.5
21915,91.9,1.8,0.4,5.0
21916,100.0,0.0,0.0,0.0
21917,94.7,1.2,0.7,1.5
21918,95.6,1.3,0.7,1.1
21919,95.8,1.2,0.2,1.2
21920,88.7,6.6,0.0,0.8
21921,82.5,8.9,1.5,4.5
21930,71.3,22.3,1.1,2.1
