Census 5-Digit ZCTA Code,State FIPS Code,Census Identifier,FIPS Class Code,Feature Class Code,Functional Code,Zip Code (Number),State,Census Land Area (m),Census Water Area (m),Total Population,Total Housing Units,Non Hispanic White Persons,Non Hispanic Black Persons,Non Hispanic American Indian Persons,Non Hispanic Asian Persons,Non Hispanic Native Hawaiian Persons,Non Hispanic Other Race Persons,Non Hispanic total Persons,Hispanic Persons,Percent Non Hispanic White,Percent Non Hispanic Black,Percent Non Hispanic American Indian,Percent non Hispanic Asian,Percent Non Hispanic Native Hawaiian,Percent Non Hispanic Other,Percent Non Hispanic Total,Percent Hispanic,Persons Over 65,Percent Over 65,Median Age,Vacant Units,Percent Vacant,Homeowner Rate,Percent Homeowner Without Mortgage,Percent Rent,Percent Population Under 18,ZCTA Report 1,ZCTA Report 2
20903,24,2420903,B5,G6350,S,"20,903.00",24,"9,335,645.00","4,751.00","23,625.00","7,318.00","2,864.00","6,508.00",39,"2,365.00",10,127,389,"11,323.00",12.1,27.5,0.2,10,0,0.5,1.6,47.9,"1,904.00",8.1,31.5,316,4.3,31.9,19.6,60.3,39,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20903.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20903.pdf
20904,24,2420904,B5,G6350,S,"20,904.00",24,"35,402,513.00","97,435.00","54,612.00","21,452.00","14,560.00","22,696.00",81,"7,533.00",34,216,"1,431.00","8,061.00",26.7,41.6,0.1,13.8,0.1,0.4,2.6,14.8,"8,192.00",15,38,937,4.4,42.3,21.5,46.2,35.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20904.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20904.pdf
20905,24,2420905,B5,G6350,S,"20,905.00",24,"33,328,393.00","555,453.00","18,044.00","5,977.00","8,177.00","4,131.00",40,"3,144.00",9,63,571,"1,909.00",45.3,22.9,0.2,17.4,0,0.3,3.2,10.6,"2,390.00",13.2,43.6,136,2.3,72.1,20.2,9.7,18.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20905.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20905.pdf
20906,24,2420906,B5,G6350,S,"20,906.00",24,"31,358,675.00","198,767.00","64,696.00","25,715.00","20,713.00","15,799.00",112,"7,489.00",32,452,"1,412.00","18,687.00",32,24.4,0.2,11.6,0,0.7,2.2,28.9,"12,445.00",19.2,40.1,"1,437.00",5.6,46.3,30.3,33.5,34,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20906.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20906.pdf
20910,24,2420910,B5,G6350,S,"20,910.00",24,"11,796,743.00","29,906.00","37,445.00","19,047.00","18,097.00","10,445.00",70,"2,642.00",13,127,"1,144.00","4,907.00",48.3,27.9,0.2,7.1,0,0.3,3.1,13.1,"3,649.00",9.7,35.2,"1,308.00",6.9,30.8,17,62.9,27.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20910.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20910.pdf
20912,24,2420912,B5,G6350,S,"20,912.00",24,"6,903,313.00","13,926.00","24,807.00","10,257.00","8,432.00","9,230.00",30,946,14,92,740,"5,323.00",34,37.2,0.1,3.8,0.1,0.4,3,21.5,"2,053.00",8.3,35.6,718,7,35.5,15.9,57.8,34.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20912.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20912.pdf
21001,24,2421001,B5,G6350,S,"21,001.00",24,"77,441,232.00","4,109,484.00","21,487.00","8,942.00","13,267.00","5,630.00",67,549,57,42,834,"1,041.00",61.7,26.2,0.3,2.6,0.3,0.2,3.9,4.8,"2,798.00",13,38.1,569,6.4,50.1,24.6,33.6,42.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21001.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21001.pdf
21005,24,2421005,B5,G6350,S,"21,005.00",24,"20,637,751.00","2,153,023.00","2,112.00",760,"1,223.00",424,12,43,15,8,78,309,57.9,20.1,0.6,2,0.7,0.4,3.7,14.6,3,0.1,22.4,432,56.8,0,100,98.8,15.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21005.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21005.pdf
21009,24,2421009,B5,G6350,S,"21,009.00",24,"29,377,217.00","2,030,042.00","29,766.00","11,620.00","23,069.00","3,734.00",53,"1,097.00",17,42,622,"1,132.00",77.5,12.5,0.2,3.7,0.1,0.1,2.1,3.8,"2,377.00",8,34.8,426,3.7,74.5,10.8,16.5,20.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21009.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21009.pdf
21010,24,2421010,B5,G6350,S,"21,010.00",24,"13,302,293.00","576,115.00",104,107,73,10,0,3,0,0,5,13,70.2,9.6,0,2.9,0,0,4.8,12.5,2,1.9,35.5,73,68.2,0,0,100,10.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21010.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21010.pdf
