Census 5-Digit ZCTA Code,State FIPS Code,Census Identifier,FIPS Class Code,Feature Class Code,Functional Code,Zip Code (Number),State,Census Land Area (m),Census Water Area (m),Total Population,Total Housing Units,Non Hispanic White Persons,Non Hispanic Black Persons,Non Hispanic American Indian Persons,Non Hispanic Asian Persons,Non Hispanic Native Hawaiian Persons,Non Hispanic Other Race Persons,Non Hispanic total Persons,Hispanic Persons,Percent Non Hispanic White,Percent Non Hispanic Black,Percent Non Hispanic American Indian,Percent non Hispanic Asian,Percent Non Hispanic Native Hawaiian,Percent Non Hispanic Other,Percent Non Hispanic Total,Percent Hispanic,Persons Over 65,Percent Over 65,Median Age,Vacant Units,Percent Vacant,Homeowner Rate,Percent Homeowner Without Mortgage,Percent Rent,Percent Population Under 18,ZCTA Report 1,ZCTA Report 2
21048,24,2421048,B5,G6350,S,"21,048.00",24,"70,073,338.00","3,602,168.00","10,650.00","3,993.00","9,915.00",277,14,177,0,11,116,140,93.1,2.6,0.1,1.7,0,0.1,1.1,1.3,"1,494.00",14,44.8,134,3.4,65.5,27.8,9.2,15.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21048.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21048.pdf
21050,24,2421050,B5,G6350,S,"21,050.00",24,"73,589,819.00","283,819.00","18,202.00","6,609.00","16,761.00",511,19,300,1,12,240,358,92.1,2.8,0.1,1.6,0,0.1,1.3,2,"2,487.00",13.7,41.3,197,3,69.5,21.7,11.2,14.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21050.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21050.pdf
21051,24,2421051,B5,G6350,S,"21,051.00",24,"1,029,627.00","1,425.00",279,105,275,1,0,0,0,0,2,1,98.6,0.4,0,0,0,0,0.7,0.4,45,16.1,46.4,1,1,68,30.7,1.9,10,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21051.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21051.pdf
21052,24,2421052,B5,G6350,S,"21,052.00",24,"193,870.00","175,832.00",303,131,295,0,1,2,0,0,1,4,97.4,0,0.3,0.7,0,0,0.3,1.3,50,16.5,48.2,9,6.9,63.9,27.6,11.8,10.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21052.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21052.pdf
21053,24,2421053,B5,G6350,S,"21,053.00",24,"58,128,997.00","140,156.00","3,305.00","1,223.00","3,125.00",63,2,28,0,4,33,50,94.6,1.9,0.1,0.8,0,0.1,1,1.5,448,13.6,44.5,51,4.2,60.7,31.5,11.4,14.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21053.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21053.pdf
21054,24,2421054,B5,G6350,S,"21,054.00",24,"46,167,989.00","25,677.00","10,127.00","3,850.00","8,189.00",838,31,431,8,14,231,385,80.9,8.3,0.3,4.3,0.1,0.1,2.3,3.8,"1,552.00",15.3,43.3,125,3.2,70.4,19.7,12.4,16.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21054.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21054.pdf
21056,24,2421056,B5,G6350,S,"21,056.00",24,"3,564,220.00","10,181,970.00",267,230,251,7,1,2,0,0,0,6,94,2.6,0.4,0.7,0,0,0,2.2,71,26.6,56.8,9,3.9,53.4,41.7,8.5,15.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21056.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21056.pdf
21057,24,2421057,B5,G6350,S,"21,057.00",24,"43,517,294.00","1,245,037.00","4,112.00","1,695.00","3,759.00",137,11,84,1,5,50,65,91.4,3.3,0.3,2,0,0.1,1.2,1.6,949,23.1,49.9,103,6.1,55.7,36.8,11.9,18.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21057.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21057.pdf
21060,24,2421060,B5,G6350,S,"21,060.00",24,"32,403,463.00","2,722,648.00","29,223.00","12,076.00","20,550.00","4,896.00",114,889,36,38,696,"2,004.00",70.3,16.8,0.4,3,0.1,0.1,2.4,6.9,"3,945.00",13.5,38.7,731,6.1,55.1,21.4,29.9,36.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21060.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21060.pdf
21061,24,2421061,B5,G6350,S,"21,061.00",24,"31,439,237.00","45,320.00","53,684.00","22,143.00","33,056.00","11,780.00",147,"2,461.00",62,107,"1,601.00","4,470.00",61.6,21.9,0.3,4.6,0.1,0.2,3,8.3,"5,903.00",11,34.8,"1,039.00",4.7,41,22,47.5,42.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21061.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21061.pdf
21071,24,2421071,B5,G6350,S,"21,071.00",24,"2,568,339.00",0,497,222,453,20,0,2,0,0,7,15,91.1,4,0,0.4,0,0,1.4,3,88,17.7,47.1,15,6.8,60.2,30.3,13.6,21.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21071.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21071.pdf
21074,24,2421074,B5,G6350,S,"21,074.00",24,"97,032,422.00","792,813.00","15,084.00","5,777.00","14,117.00",228,28,154,4,23,163,367,93.6,1.5,0.2,1,0,0.2,1.1,2.4,"1,867.00",12.4,40.4,191,3.3,66.1,21.3,16,19.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21074.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21074.pdf
21075,24,2421075,B5,G6350,S,"21,075.00",24,"37,583,125.00","152,946.00","26,344.00","10,215.00","15,625.00","4,298.00",58,"3,794.00",5,82,865,"1,617.00",59.3,16.3,0.2,14.4,0,0.3,3.3,6.1,"1,745.00",6.6,33.4,507,5,62.4,15,26.6,24.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21075.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21075.pdf
21076,24,2421076,B5,G6350,S,"21,076.00",24,"32,594,710.00","8,281.00","12,952.00","4,956.00","6,898.00","3,061.00",26,"1,662.00",15,25,486,779,53.3,23.6,0.2,12.8,0.1,0.2,3.8,6,"1,042.00",8,37.1,228,4.6,68.5,14,20.3,18.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21076.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21076.pdf
21214,24,2421214,B5,G6350,S,"21,214.00",24,"7,394,837.00",0,"20,564.00","8,981.00","8,276.00","10,950.00",51,252,7,40,468,520,40.2,53.2,0.2,1.2,0,0.2,2.3,2.5,"2,213.00",10.8,39,791,8.8,59.8,19.1,26.1,48.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21214.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21214.pdf
21215,24,2421215,B5,G6350,S,"21,215.00",24,"17,645,223.00","10,946.00","60,161.00","26,995.00","8,610.00","48,796.00",134,387,33,102,725,"1,374.00",14.3,81.1,0.2,0.6,0.1,0.2,1.2,2.3,"10,092.00",16.8,39.8,"3,679.00",13.6,35.7,28.9,49.7,60.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21215.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21215.pdf
21216,24,2421216,B5,G6350,S,"21,216.00",24,"8,634,688.00","145,342.00","32,071.00","14,934.00",386,"30,809.00",57,55,6,25,392,341,1.2,96.1,0.2,0.2,0,0.1,1.2,1.1,"4,330.00",13.5,37.4,"3,029.00",20.3,34.5,31.1,49.9,76.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21216.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21216.pdf
21217,24,2421217,B5,G6350,S,"21,217.00",24,"5,999,196.00","191,954.00","37,111.00","21,096.00","3,487.00","32,069.00",76,367,6,50,555,501,9.4,86.4,0.2,1,0,0.1,1.5,1.4,"4,127.00",11.1,34.3,"5,854.00",27.7,21.7,27.7,70,81.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21217.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21217.pdf
21218,24,2421218,B5,G6350,S,"21,218.00",24,"10,836,080.00","316,361.00","49,796.00","23,730.00","12,737.00","31,565.00",131,"2,837.00",19,89,974,"1,444.00",25.6,63.4,0.3,5.7,0,0.2,2,2.9,"5,660.00",11.4,32.8,"3,784.00",15.9,33,28,54.2,64.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21218.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21218.pdf
21219,24,2421219,B5,G6350,S,"21,219.00",24,"21,258,354.00","10,767,333.00","9,379.00","3,816.00","8,623.00",390,38,95,0,4,104,125,91.9,4.2,0.4,1,0,0,1.1,1.3,"1,595.00",17,44.6,221,5.8,54.8,32.7,18.6,26.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21219.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21219.pdf
21220,24,2421220,B5,G6350,S,"21,220.00",24,"55,824,029.00","16,798,384.00","39,199.00","16,245.00","27,773.00","7,400.00",169,946,11,45,908,"1,947.00",70.9,18.9,0.4,2.4,0,0.1,2.3,5,"4,810.00",12.3,37,884,5.4,48,26.5,34.6,44.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21220.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21220.pdf
21221,24,2421221,B5,G6350,S,"21,221.00",24,"38,242,330.00","16,294,079.00","42,154.00","17,966.00","27,679.00","10,395.00",166,761,10,85,989,"2,069.00",65.7,24.7,0.4,1.8,0,0.2,2.3,4.9,"5,749.00",13.6,38.1,"1,134.00",6.3,41.6,27.4,42.7,48,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21221.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21221.pdf
21222,24,2421222,B5,G6350,S,"21,222.00",24,"28,389,988.00","5,688,538.00","55,786.00","23,231.00","44,049.00","6,297.00",457,912,11,45,"1,490.00","2,525.00",79,11.3,0.8,1.6,0,0.1,2.7,4.5,"8,242.00",14.8,39.1,"1,496.00",6.4,45.4,32,33.3,46.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21222.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21222.pdf
21223,24,2421223,B5,G6350,S,"21,223.00",24,"6,817,146.00","48,381.00","26,366.00","14,343.00","4,849.00","19,712.00",117,332,4,35,501,816,18.4,74.8,0.4,1.3,0,0.1,1.9,3.1,"2,760.00",10.5,34.8,"4,751.00",33.1,22.5,37.2,64.1,75.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21223.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21223.pdf
21224,24,2421224,B5,G6350,S,"21,224.00",24,"24,539,976.00","8,880,483.00","49,134.00","23,112.00","29,120.00","8,434.00",382,"1,092.00",27,75,895,"9,109.00",59.3,17.2,0.8,2.2,0.1,0.2,1.8,18.5,"5,194.00",10.6,32.5,"3,193.00",13.8,42.9,25.8,42.2,52.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21224.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21224.pdf
21225,24,2421225,B5,G6350,S,"21,225.00",24,"16,741,531.00","641,895.00","33,545.00","13,715.00","15,288.00","14,399.00",117,581,8,47,900,"2,205.00",45.6,42.9,0.3,1.7,0,0.1,2.7,6.6,"3,379.00",10.1,32,"1,441.00",10.5,35.4,28,50.9,64.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21225.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21225.pdf
21226,24,2421226,B5,G6350,S,"21,226.00",24,"25,718,732.00","17,453,901.00","7,561.00","3,347.00","5,667.00","1,088.00",36,141,1,4,253,371,75,14.4,0.5,1.9,0,0.1,3.3,4.9,639,8.5,34.7,408,12.2,50.9,16.7,38.9,46.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21226.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21226.pdf
21227,24,2421227,B5,G6350,S,"21,227.00",24,"29,853,685.00","570,967.00","33,534.00","13,611.00","24,303.00","5,032.00",68,"1,207.00",25,43,746,"2,110.00",72.5,15,0.2,3.6,0.1,0.1,2.2,6.3,"4,300.00",12.8,35,814,6,48.2,24.7,36,45.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21227.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21227.pdf
21228,24,2421228,B5,G6350,S,"21,228.00",24,"40,143,654.00","107,562.00","47,577.00","19,985.00","30,774.00","10,146.00",104,"3,568.00",20,104,"1,008.00","1,853.00",64.7,21.3,0.2,7.5,0,0.2,2.1,3.9,"9,045.00",19,43.4,827,4.1,52.8,26,28.7,24.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21228.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21228.pdf
21229,24,2421229,B5,G6350,S,"21,229.00",24,"15,227,940.00","9,418.00","45,213.00","19,681.00","8,059.00","34,089.00",121,"1,249.00",22,62,720,891,17.8,75.4,0.3,2.8,0,0.1,1.6,2,"5,773.00",12.8,37.2,"1,844.00",9.4,44.5,22.5,42.6,63.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21229.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21229.pdf
21230,24,2421230,B5,G6350,S,"21,230.00",24,"16,325,575.00","5,336,342.00","33,568.00","17,478.00","21,122.00","8,821.00",87,"1,045.00",12,59,614,"1,808.00",62.9,26.3,0.3,3.1,0,0.2,1.8,5.4,"3,018.00",9,31.8,"2,457.00",14.1,44.5,19.4,44.8,55.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21230.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21230.pdf
21231,24,2421231,B5,G6350,S,"21,231.00",24,"2,259,604.00","384,090.00","15,748.00","9,108.00","7,821.00","5,126.00",90,595,10,14,271,"1,821.00",49.7,32.6,0.6,3.8,0.1,0.1,1.7,11.6,"1,293.00",8.2,32.1,"1,395.00",15.3,28,21.1,64.6,67,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21231.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21231.pdf
21234,24,2421234,B5,G6350,S,"21,234.00",24,"33,648,163.00","11,024.00","69,752.00","31,527.00","45,694.00","17,218.00",138,"2,969.00",23,101,"1,246.00","2,363.00",65.5,24.7,0.2,4.3,0,0.1,1.8,3.4,"12,223.00",17.5,40.1,"1,500.00",4.8,44.6,27.2,38.7,41.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21234.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21234.pdf
21236,24,2421236,B5,G6350,S,"21,236.00",24,"22,187,907.00","27,168.00","38,474.00","16,332.00","28,520.00","4,790.00",77,"3,107.00",4,69,732,"1,175.00",74.1,12.4,0.2,8.1,0,0.2,1.9,3.1,"4,785.00",12.4,37.9,563,3.4,53.5,23.7,29.9,32.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21236.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21236.pdf
21237,24,2421237,B5,G6350,S,"21,237.00",24,"29,708,940.00","665,797.00","30,059.00","12,461.00","17,084.00","8,049.00",113,"2,233.00",8,68,597,"1,907.00",56.8,26.8,0.4,7.4,0,0.2,2,6.3,"3,946.00",13.1,37.2,680,5.5,48.9,24.5,35.3,35.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21237.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21237.pdf
21239,24,2421239,B5,G6350,S,"21,239.00",24,"8,375,263.00","2,110.00","28,793.00","12,505.00","4,298.00","22,820.00",46,600,11,38,440,540,14.9,79.3,0.2,2.1,0,0.1,1.5,1.9,"3,644.00",12.7,36,740,5.9,45.6,20.2,42.9,59.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21239.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21239.pdf
21240,24,2421240,B5,G6350,S,"21,240.00",24,"12,553,482.00","1,056.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21240.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21240.pdf
21244,24,2421244,B5,G6350,S,"21,244.00",24,"34,747,180.00","171,979.00","34,611.00","14,378.00","3,642.00","26,477.00",73,"1,943.00",4,70,799,"1,603.00",10.5,76.5,0.2,5.6,0,0.2,2.3,4.6,"2,799.00",8.1,33.8,882,6.1,42.5,12.4,51.5,51.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21244.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21244.pdf
21250,24,2421250,B5,G6350,S,"21,250.00",24,"634,718.00",0,"3,205.00",1,"1,648.00",651,3,621,2,5,136,139,51.4,20.3,0.1,19.4,0.1,0.2,4.2,4.3,1,0,19.9,0,0,0,100,0,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21250.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21250.pdf
21251,24,2421251,B5,G6350,S,"21,251.00",24,"461,424.00",0,934,0,33,859,0,12,1,0,25,4,3.5,92,0,1.3,0.1,0,2.7,0.4,0,0,19.6,0,0,0,0,0,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21251.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21251.pdf
21252,24,2421252,B5,G6350,S,"21,252.00",24,"372,524.00",0,"2,872.00",0,"2,127.00",451,5,106,1,10,74,98,74.1,15.7,0.2,3.7,0,0.3,2.6,3.4,0,0,19.3,0,0,0,0,0,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21252.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21252.pdf
21286,24,2421286,B5,G6350,S,"21,286.00",24,"22,060,767.00","1,043,628.00","19,206.00","8,594.00","15,302.00","1,783.00",20,"1,074.00",7,45,392,583,79.7,9.3,0.1,5.6,0,0.2,2,3,"3,908.00",20.3,40.7,389,4.5,42.6,33.1,36.3,20.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21286.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21286.pdf
21401,24,2421401,B5,G6350,S,"21,401.00",24,"51,116,387.00","5,914,452.00","36,012.00","17,412.00","24,420.00","6,788.00",58,804,12,55,561,"3,314.00",67.8,18.8,0.2,2.2,0,0.2,1.6,9.2,"6,986.00",19.4,42.1,"1,348.00",7.7,45.4,27.1,37.7,35.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21401.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21401.pdf
21402,24,2421402,B5,G6350,S,"21,402.00",24,"5,017,093.00","2,687,880.00","5,217.00",344,"3,758.00",318,18,204,12,7,282,618,72,6.1,0.3,3.9,0.2,0.1,5.4,11.8,11,0.2,20.9,125,36.3,3.7,38.5,94,10.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21402.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21402.pdf
21403,24,2421403,B5,G6350,S,"21,403.00",24,"23,530,922.00","12,274,727.00","30,269.00","14,329.00","19,890.00","5,037.00",46,610,7,64,519,"4,096.00",65.7,16.6,0.2,2,0,0.2,1.7,13.5,"4,613.00",15.2,40.5,747,5.2,49.4,19.9,38.3,35.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21403.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21403.pdf
21405,24,2421405,B5,G6350,S,"21,405.00",24,"2,566,889.00","1,950,935.00",544,340,527,0,0,6,0,0,0,11,96.9,0,0,1.1,0,0,0,2,127,23.3,49.5,4,1.2,58.6,37.7,5.9,15.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21405.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21405.pdf
21409,24,2421409,B5,G6350,S,"21,409.00",24,"36,247,301.00","11,631,106.00","20,064.00","7,718.00","16,869.00","1,464.00",33,344,5,36,344,969,84.1,7.3,0.2,1.7,0,0.2,1.7,4.8,"2,485.00",12.4,40.8,281,3.6,70,17.3,15.4,20.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21409.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21409.pdf
21502,24,2421502,B5,G6350,S,"21,502.00",24,"232,035,115.00","4,155,097.00","44,400.00","19,499.00","37,653.00","4,735.00",63,351,18,46,781,753,84.8,10.7,0.1,0.8,0,0.1,1.8,1.7,"7,826.00",17.6,41.6,"2,173.00",11.1,40.1,40.7,32.3,38.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21502.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21502.pdf
21520,24,2421520,B5,G6350,S,"21,520.00",24,"158,522,417.00",0,"2,074.00","1,054.00","2,003.00",30,4,4,0,0,25,8,96.6,1.4,0.2,0.2,0,0,1.2,0.4,305,14.7,40.5,87,8.3,43.7,42.6,23.9,19.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21520.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21520.pdf
21521,24,2421521,B5,G6350,S,"21,521.00",24,"60,100,158.00","55,227.00","1,265.00",605,"1,242.00",1,1,3,0,0,11,7,98.2,0.1,0.1,0.2,0,0,0.9,0.6,279,22.1,45.6,56,9.3,40.1,48.9,21.4,27.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21521.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21521.pdf
21522,24,2421522,B5,G6350,S,"21,522.00",24,"6,684,501.00",0,141,53,141,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,14,9.9,40.6,1,1.9,35.3,57.1,17.6,27.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21522.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21522.pdf
21523,24,2421523,B5,G6350,S,"21,523.00",24,"1,834,884.00","63,933.00",286,124,280,0,0,0,0,0,2,4,97.9,0,0,0,0,0,0.7,1.4,68,23.8,48.3,11,8.9,45,49,11.7,13.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21523.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21523.pdf
21524,24,2421524,B5,G6350,S,"21,524.00",24,"8,959,348.00",0,626,275,616,0,0,2,0,0,6,2,98.4,0,0,0.3,0,0,1,0.3,125,20,46,11,4,40.2,51.8,16.5,26.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21524.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21524.pdf
21529,24,2421529,B5,G6350,S,"21,529.00",24,"9,382,408.00","85,941.00",631,287,614,2,0,2,0,0,4,9,97.3,0.3,0,0.3,0,0,0.6,1.4,147,23.3,47.7,20,7,46.6,42.5,19.1,28.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21529.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21529.pdf
21530,24,2421530,B5,G6350,S,"21,530.00",24,"146,146,286.00","440,000.00","1,591.00",801,"1,529.00",21,4,3,0,0,18,16,96.1,1.3,0.3,0.2,0,0,1.1,1,297,18.7,44.3,52,6.5,45,46,16.6,29.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21530.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21530.pdf
